"codele";"codtse";"data";"hora";"apuracao";"turno";"fase";"ncand";"nome";"partido";"votabs";"votpor";"situacao";"cargo";"codibge";"uf";"regiao";"compilado"
"426";"07455";"15/11/2020";"22:24:03";" 100,00";"1";"o";"10";"DR TIAGO ASSUNÇÃO";"REPUBLICANOS - REPUBLICANOS / PTC / MDB";"497";"   6,44";"Não eleito";"prefeito";"2102408";"MA";"NE";2020-11-16 17:49:55
"426";"07455";"15/11/2020";"22:24:03";" 100,00";"1";"o";"20";"JOÃO BISPO SEREJO";"PSC - PV / PSC";"3177";"  41,15";"Não eleito";"prefeito";"2102408";"MA";"NE";2020-11-16 17:49:55
"426";"07455";"15/11/2020";"22:24:03";" 100,00";"1";"o";"25";"DR MARCONE";"DEM - DEM / PSB";"4047";"  52,42";"Eleito";"prefeito";"2102408";"MA";"NE";2020-11-16 17:49:55
"426";"07463";"15/11/2020";"21:49:16";" 100,00";"1";"o";"65";"DIVA SILVA";"PC do B";"2612";"  28,32";"Não eleito";"prefeito";"2103174";"MA";"NE";2020-11-16 17:49:55
"426";"07463";"15/11/2020";"21:49:16";" 100,00";"1";"o";"11";"JUNIOR GARIMPEIRO";"PP - PP / MDB / PATRIOTA";"4221";"  45,76";"Eleito";"prefeito";"2103174";"MA";"NE";2020-11-16 17:49:55
"426";"07463";"15/11/2020";"21:49:16";" 100,00";"1";"o";"22";"NEY PASSINHO";"PL";"2180";"  23,63";"Não eleito";"prefeito";"2103174";"MA";"NE";2020-11-16 17:49:55
"426";"07463";"15/11/2020";"21:49:16";" 100,00";"1";"o";"35";"PROFESSOR ADEMAR";"PMB";"211";"   2,29";"Não eleito";"prefeito";"2103174";"MA";"NE";2020-11-16 17:49:55
"426";"07471";"15/11/2020";"21:56:42";" 100,00";"1";"o";"12";"DRA MARIA FELIX";"PDT - PDT / PC do B";"5899";"  46,57";"Eleito";"prefeito";"2102507";"MA";"NE";2020-11-16 17:49:55
"426";"07471";"15/11/2020";"21:56:42";" 100,00";"1";"o";"25";"DRA. CAMYLA";"DEM - DEM / REPUBLICANOS";"5860";"  46,26";"Não eleito";"prefeito";"2102507";"MA";"NE";2020-11-16 17:49:55
"426";"07471";"15/11/2020";"21:56:42";" 100,00";"1";"o";"45";"PADRE PAULO";"PSDB - PT / PSDB";"85";"   0,67";"Não eleito";"prefeito";"2102507";"MA";"NE";2020-11-16 17:49:55
"426";"07471";"15/11/2020";"21:56:42";" 100,00";"1";"o";"77";"DR ÍTALO BONIFÁCIO";"SOLIDARIEDADE";"823";"   6,50";"Não eleito";"prefeito";"2102507";"MA";"NE";2020-11-16 17:49:55
"426";"07480";"15/11/2020";"21:52:47";" 100,00";"1";"o";"65";"EUSTÁQUIO SAMPAIO";"PC do B";"3058";"  36,31";"Não eleito";"prefeito";"2103257";"MA";"NE";2020-11-16 17:49:55
"426";"07480";"15/11/2020";"21:52:47";" 100,00";"1";"o";"11";"FERNANDO TEIXEIRA";"PP - PSD / PT / PP / MDB";"5225";"  62,03";"Eleito";"prefeito";"2103257";"MA";"NE";2020-11-16 17:49:55
"426";"07480";"15/11/2020";"21:52:47";" 100,00";"1";"o";"17";"ZUCATELLI";"PSL";"140";"   1,66";"Não eleito";"prefeito";"2103257";"MA";"NE";2020-11-16 17:49:55
"426";"07498";"15/11/2020";"22:02:46";" 100,00";"1";"o";"65";"CRISTOVAO LEITE";"PC do B - PP / PC do B";"2927";"  23,89";"Não eleito";"prefeito";"2102606";"MA";"NE";2020-11-16 17:49:55
"426";"07498";"15/11/2020";"22:02:46";" 100,00";"1";"o";"22";"FACINHO";"PL - PL / PSDB / AVANTE";"5940";"  48,49";"Eleito";"prefeito";"2102606";"MA";"NE";2020-11-16 17:49:55
"426";"07498";"15/11/2020";"22:02:46";" 100,00";"1";"o";"55";"WANDERLEY BRAZ";"PSD";"671";"   5,48";"Não eleito";"prefeito";"2102606";"MA";"NE";2020-11-16 17:49:55
"426";"07498";"15/11/2020";"22:02:46";" 100,00";"1";"o";"12";"JOFRAN BRAGA JB";"PDT - DEM / SOLIDARIEDADE / PDT / PSL / PSC";"2712";"  22,14";"Não eleito";"prefeito";"2102606";"MA";"NE";2020-11-16 17:49:55
"426";"07501";"15/11/2020";"22:20:15";" 100,00";"1";"o";"25";"ZÉ CÔCO";"DEM - PSB / DEM / PSC";"4228";"  46,62";"Não eleito";"prefeito";"2103554";"MA";"NE";2020-11-16 17:49:55
"426";"07501";"15/11/2020";"22:20:15";" 100,00";"1";"o";"11";"ZUINGLES BASTOS";"PP";"283";"   3,12";"Não eleito";"prefeito";"2103554";"MA";"NE";2020-11-16 17:49:55
"426";"07501";"15/11/2020";"22:20:15";" 100,00";"1";"o";"22";"ALEXANDRE LAVEPEL";"PL - PL / PATRIOTA / PC do B";"4559";"  50,26";"Eleito";"prefeito";"2103554";"MA";"NE";2020-11-16 17:49:55
"426";"07510";"15/11/2020";"22:03:07";" 100,00";"1";"o";"11";"RUIVO";"PP - PP / PT / DEM / PATRIOTA / SOLIDARIEDADE";"4637";"  43,61";"Não eleito";"prefeito";"2102705";"MA";"NE";2020-11-16 17:49:55
"426";"07510";"15/11/2020";"22:03:07";" 100,00";"1";"o";"12";"ZÉ MARTINHO";"PDT - PDT / MDB / PL / REPUBLICANOS";"5997";"  56,39";"Eleito";"prefeito";"2102705";"MA";"NE";2020-11-16 17:49:55
"426";"07528";"15/11/2020";"22:07:57";" 100,00";"1";"o";"25";"TIAGO DANTAS";"DEM - PT / DEM";"2441";"  46,37";"Não eleito";"prefeito";"2104073";"MA";"NE";2020-11-16 17:49:55
